feature,importance
f0,8175.8896484375
f1,703.2830810546875
f3,433.6815490722656
f4,10233.623046875
f6,16825.0546875
f7,222.8916015625
f8,485.814208984375
f17,1331.537841796875
f18,1032.251953125
f26,721.38818359375
f30,6052.046875
f31,1931.0430908203125
f33,2291.0615234375
f34,2081.787109375
f40,253.67921447753906
f53,1349.6484375
f62,1294.6326904296875
f64,287.40869140625
f65,428.96533203125
f75,1327.7913818359375
f76,1074.8330078125
f77,797.6513671875
f80,706.13671875
f83,4462.54150390625
f84,1323.8828125
f85,870.6874389648438
f86,34482.97265625
f87,6817.02197265625
f88,2383.9853515625
f89,8229.6708984375
f90,6781.86474609375
